operator_id,user_id,name,license_number,experience_years,certification,safety_score,accident_history,country,status,emergency_contact,created_at
OP0231,USR00231,Noah Baker,LIC-AU-236889,6,Advanced,88.6,1,Australia,active,+61-460895423,2021-02-21
OP0232,USR00232,Steven Miller,LIC-US-661425,3,Basic,76.0,1,USA,active,+1-5609734448,2020-11-19
OP0233,USR00233,Peter Schmitt,LIC-GE-757916,9,Expert,97.3,2,Germany,active,+49-9689323679,2021-04-18
OP0234,USR00234,William Chen,LIC-AU-396183,21,Basic,83.4,0,Australia,active,+61-435164329,2022-06-01
OP0235,USR00235,Vinay Verma,LIC-IN-205561,4,Basic,89.4,0,India,active,+91-8108987661,2020-09-09
OP0236,USR00236,Anil Rao,LIC-IN-540304,11,Basic,92.2,0,India,active,+91-7611705235,2022-01-15
OP0237,USR00237,Ryan Miller,LIC-US-791710,21,Expert,88.5,0,USA,active,+1-8731475820,2021-03-21
OP0238,USR00238,William White,LIC-AU-729138,23,Expert,85.8,0,Australia,active,+61-473347676,2022-11-27
OP0239,USR00239,Balaji Mehta,LIC-IN-130990,5,Basic,74.7,2,India,active,+91-8301905670,2022-11-09
OP0240,USR00240,Jonathan Jones,LIC-US-327496,12,Basic,94.1,0,USA,active,+1-2126691301,2022-07-14
OP0241,USR00241,Balaji Krishnan,LIC-IN-308915,15,Basic,100.0,1,India,active,+91-6395007463,2021-12-11
OP0242,USR00242,Bernd Hoffmann,LIC-GE-519369,2,Advanced,71.7,0,Germany,active,+49-4961454933,2022-03-21
OP0243,USR00243,Sunil Krishnan,LIC-IN-931681,4,Basic,71.0,3,India,active,+91-9291872808,2021-04-10
OP0244,USR00244,Deepak Naidu,LIC-IN-544320,4,Expert,76.1,2,India,active,+91-8561216903,2020-10-28
OP0245,USR00245,Naveen Bansal,LIC-IN-309422,6,Basic,71.1,1,India,active,+91-8435856503,2021-12-06
OP0246,USR00246,Timothy Williams,LIC-US-365356,2,Expert,77.5,0,USA,active,+1-4520584223,2022-02-05
OP0247,USR00247,Timothy Thompson,LIC-US-948340,9,Basic,83.2,5,USA,active,+1-3385905046,2020-09-14
OP0248,USR00248,Manoj Singh,LIC-IN-252085,7,Basic,74.8,5,India,active,+91-9347989525,2022-01-15
OP0249,USR00249,Naveen Krishnan,LIC-IN-587982,12,Basic,85.2,2,India,active,+91-8437261880,2020-09-09
OP0250,USR00250,Manoj Pillai,LIC-IN-322481,2,Basic,87.9,4,India,active,+91-8264574595,2022-04-24
OP0251,USR00251,Arjun Krishnan,LIC-IN-178458,8,Expert,100.0,1,India,active,+91-8465089568,2021-02-09
OP0252,USR00252,Jonathan Jackson,LIC-US-152072,7,Basic,77.6,2,USA,active,+1-5447678454,2021-07-10
OP0253,USR00253,Arjun Malhotra,LIC-IN-730645,8,Advanced,78.6,1,India,active,+91-7403916389,2021-04-06
OP0254,USR00254,Jason Smith,LIC-US-703726,10,Advanced,96.6,2,USA,active,+1-6243233430,2021-08-17
OP0255,USR00255,Ravi Sharma,LIC-IN-141020,9,Expert,84.5,3,India,active,+91-7449078440,2021-02-10
OP0256,USR00256,Vinay Patel,LIC-IN-415619,16,Advanced,80.5,0,India,active,+91-7179713907,2022-01-12
OP0257,USR00257,Peter Schneider,LIC-GE-412941,4,Basic,82.6,1,Germany,active,+49-7247381006,2020-07-16
OP0258,USR00258,David Moore,LIC-US-110901,16,Basic,77.5,0,USA,active,+1-2595859831,2022-01-06
OP0259,USR00259,Tobias Nguyen,LIC-AU-859282,3,Basic,69.7,0,Australia,active,+61-449510172,2020-08-19
OP0260,USR00260,Jack Carter,LIC-AU-145168,5,Expert,92.2,4,Australia,active,+61-414871807,2022-10-14
OP0261,USR00261,Noah Thompson,LIC-AU-951952,7,Advanced,70.0,1,Australia,active,+61-450943206,2022-03-01
OP0262,USR00262,Juergen Zimmermann,LIC-GE-255190,7,Basic,81.2,3,Germany,active,+49-3265977202,2021-04-20
OP0263,USR00263,Mark Anderson,LIC-US-196258,3,Advanced,70.3,1,USA,active,+1-7428031334,2022-02-02
OP0264,USR00264,Frank Schwarz,LIC-GE-618631,10,Basic,60.1,1,Germany,active,+49-1258844497,2022-11-19
OP0265,USR00265,Martin Richter,LIC-GE-953536,6,Basic,82.8,0,Germany,active,+49-8982019929,2020-10-15
OP0266,USR00266,Beau Chen,LIC-AU-210793,5,Expert,81.0,0,Australia,active,+61-417456426,2022-04-22
OP0267,USR00267,Riley Chen,LIC-AU-519645,12,Basic,81.0,0,Australia,active,+61-425226688,2022-09-23
OP0268,USR00268,Amit Bhat,LIC-IN-254444,8,Advanced,79.5,2,India,active,+91-7979782863,2022-08-15
OP0269,USR00269,Thomas Mueller,LIC-GE-599374,18,Basic,84.0,0,Germany,active,+49-7239045246,2022-03-06
OP0270,USR00270,Aditya Singh,LIC-IN-516209,5,Basic,82.3,3,India,active,+91-8156891321,2021-09-17
OP0271,USR00271,Michael Lee,LIC-US-501103,6,Basic,79.0,0,USA,active,+1-9438890257,2021-09-26
OP0272,USR00272,Deepak Joshi,LIC-IN-736955,5,Basic,79.3,1,India,active,+91-8120065562,2021-06-19
OP0273,USR00273,Scott Johnson,LIC-US-155718,9,Basic,94.4,1,USA,active,+1-5844246833,2021-04-22
OP0274,USR00274,Anil Pillai,LIC-IN-750348,5,Basic,81.8,1,India,active,+91-9004382350,2020-11-29
OP0275,USR00275,Andrew Brown,LIC-US-381298,4,Expert,86.9,1,USA,active,+1-4126746095,2022-06-10
OP0276,USR00276,Frank Krueger,LIC-GE-294069,6,Basic,76.6,1,Germany,active,+49-2024862905,2022-01-14
OP0277,USR00277,Manfred Meyer,LIC-GE-548709,4,Advanced,94.9,1,Germany,active,+49-2434751674,2022-06-04
OP0278,USR00278,Noah Taylor,LIC-AU-722859,22,Expert,94.7,0,Australia,active,+61-447263919,2021-08-04
OP0279,USR00279,Mark Wilson,LIC-US-694822,10,Expert,100.0,1,USA,active,+1-9215743734,2022-02-08
OP0280,USR00280,Karl Neumann,LIC-GE-451983,7,Expert,82.3,2,Germany,active,+49-7238939734,2020-11-10
